INDEX_CATEGORY,INDEX_NAME,INDEX_STOCKS_LIST_URL
Broad Market Indices,CNX Nifty,http://www.nse-india.com/content/indices/ind_niftylist.csv
Broad Market Indices,CNX Nifty Junior,http://www.nse-india.com/content/indices/ind_jrniftylist.csv
Broad Market Indices,LIX 15,
Broad Market Indices,LIX15 Midcap,
Broad Market Indices,CNX 100,
Broad Market Indices,CNX 200,
Broad Market Indices,CNX 500,
Broad Market Indices,CNX Midcap,
Broad Market Indices,Nifty Midcap 50,
Broad Market Indices,CNX Smallcap Index,
Broad Market Indices,India Vix,
Sectoral Indices,CNX Auto,
Sectoral Indices,CNX Bank,
Sectoral Indices,CNX Energy,
Sectoral Indices,CNX Finance,
Sectoral Indices,CNX FMCG,
Sectoral Indices,CNX IT,
Sectoral Indices,CNX Media,
Sectoral Indices,CNX Metal,
Sectoral Indices,CNX Pharma,
Sectoral Indices,CNX PSU Bank,
Sectoral Indices,CNX Realty,
Thematic Indices,CNX Commodities,
Thematic Indices,CNX Consumption,
Thematic Indices,CPSE,
Thematic Indices,CNX Infrastructure,
Thematic Indices,CNX MNC,
Thematic Indices,CNX PSE,
Thematic Indices,CNX Service Sector,
Strategy Indices,CNX 100 Equal Weight,
Strategy Indices,CNX Alpha,
Strategy Indices,CNX Defty,
Strategy Indices,CNX Dividend Opportunities,
Strategy Indices,CNX High Beta,
Strategy Indices,CNX Low Volatility,
Strategy Indices,CNX Nifty Dividend,
Strategy Indices,NSE Quality 30,
Strategy Indices,NV20,
Strategy Indices,NI15,
Fixed income indices,GSEC10,
Fixed income indices,GSECBM,
Fixed income indices,GSECBM Clean Price,
